ISSN,Título,Área de Avaliação,Estrato
2328-0662,# ISOJ JOURNAL,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",C
1413-6090,A ECONOMIA EM REVISTA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B3
2236-2029,A ECONOMIA EM REVISTA - AERE,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B3
1983-6430,A FÍSICA NA ESCOLA (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4
2319-037X,A REVISTA EM FOCO,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",C
1522-1059,AAPS PHARMSCI,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
0001-3072,ABACUS (SYDNEY. PRINT),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
2316-9451,ABAKÓS,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B3
2764-3107,ABC HEART FAILURE & CARDIOMYOPATHY,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B4
2675-312X,ABC IMAGEM CARDIOVASCULAR,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B4
2318-4965,ABCS HEALTH SCIENCES,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2
2357-8114,ABCS HEALTH SCIENCES,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2
1980-4814,"ABCUSTOS (SÃO LEOPOLDO, RS)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2
1516-3210,A&C. REVISTA DE DIREITO ADMINISTRATIVO & CONSTITUCIONAL (IMPRESSO),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
2315-778X,ACADEMIA JOURNAL OF ENVIRONMENTAL SCIENCE,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4
2315-7712,ACADEMIA JOURNAL OF SCIENTIFIC RESEARCH,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B3
2771-9359,ACADEMIA LETTERS,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3
2241-1402,ACADEMIA (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
1012-8255,ACADEMIA REVISTA LATINOAMERICANA DE ADMINISTRACIÓN,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
2318-1494,ACADÊMICO MUNDO,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B4
1096-3685,ACADEMY OF ACCOUNTING AND FINANCIAL STUDIES JOURNAL,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
1528-2686,ACADEMY OF ENTREPRENEURSHIP JOURNAL,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3
2168-1007,ACADEMY OF MANAGEMENT DISCOVERIES (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
0001-4273,ACADEMY OF MANAGEMENT JOURNAL,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
1537-260X,ACADEMY OF MANAGEMENT LEARNING & EDUCATION,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
1526-1794,ACADEMY OF MARKETING SCIENCE REVIEW,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
1095-6298,ACADEMY OF MARKETING STUDIES JOURNAL,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3
1939-6104,ACADEMY OF STRATEGIC MANAGEMENT JOURNAL,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
2358-6559,ACANTO EM REVISTA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B3
2238-0701,"AÇÃO MIDIÁTICA - ESTUDOS EM COMUNICAÇÃO, SOCIEDADE E CULTURA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
2516-8290,ACCESS MICROBIOLOGY,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2
1812-5808,"ACCIÓN, REVISTA CUBANA DE LA CULTURA FÍSICA (E-ISSN: 1812-5808 Y RNPS: 2046)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2
2456-3374,ACCOUNT AND FINANCIAL MANAGEMENT JOURNAL,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B3
2159-4260,ACCOUNTING AND BUSINESS RESEARCH,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
1467-629X,ACCOUNTING AND FINANCE,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
0810-5391,ACCOUNTING AND FINANCE (PARKVILLE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
1927-5994,ACCOUNTING AND FINANCE RESEARCH,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
2795-4412,ACCOUNTING AND MANAGEMENT REVIEW,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2
0951-3574,"ACCOUNTING, AUDITING & ACCOUNTABILITY JOURNAL","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
0963-9284,ACCOUNTING EDUCATION,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
1467-6303,ACCOUNTING FORUM,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
0155-9982,ACCOUNTING FORUM (ADELAIDE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
0361-3682,"ACCOUNTING, ORGANIZATIONS AND SOCIETY","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
1030-9616,ACCOUNTING RESEARCH JOURNAL,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
0949-1775,ACCREDITATION AND QUALITY ASSURANCE,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
2358-5587,ACENO - REVISTA DE ANTROPOLOGIA DO CENTRO-OESTE,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3
2237-8723,ACERVO: REVISTA DO ARQUIVO NACIONAL,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
1936-7228,ACM TRANSACTIONS ON ACCESSIBLE COMPUTING (TACCESS),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3
2578-5745,ACR OPEN RHEUMATOLOGY,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3
2155-5435,ACS CATALYSIS,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
2373-8227,ACS INFECTIOUS DISEASES,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
0120-2812,ACTA AGRONOMICA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B3
1809-4392,ACTA AMAZONICA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
2175-1552,ACTA AMBIENTAL CATARINENSE,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
2358-2375,ACTA APICOLA BRASILICA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B3
1677-941X,ACTA BOTANICA BRASILICA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
1980-5772,ACTA GEOGRÁFICA (UFRR),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
0065-1281,ACTA HISTOCHEMICA (PRINT),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4
2179-975X,ACTA LIMNOLOGICA BRASILIENSIA (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
1146-609X,ACTA OECOLOGICA (MONTROUGE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3
1982-0194,ACTA PAUL DE ENFERM,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
0103-2100,ACTA PAULISTA DE ENFERMAGEM,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
2317-8957,ACTA SCIENTIAE ET TECHNICAE,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B3
1517-4492,ACTA SCIENTIAE (ULBRA),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
1679-9216,ACTA SCIENTIAE VETERINARIAE (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B4
1807-8621,ACTA SCIENTIARUM. AGRONOMY (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4
1807-8672,ACTA SCIENTIARUM. ANIMAL SCIENCES,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4
1807-863X,ACTA SCIENTIARUM. BIOLOGICAL SCIENCES (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2
2178-5201,ACTA SCIENTIARUM. EDUCATION (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
1807-8648,ACTA SCIENTIARUM. HEALTH SCIENCES (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2
1807-8656,ACTA SCIENTIARUM. HUMAN AND SOCIAL SCIENCES,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
1679-7361,ACTA SCIENTIARUM. HUMAN AND SOCIAL SCIENCES (IMPRESSO),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
1806-2563,ACTA SCIENTIARUM. TECHNOLOGY (IMPRESSO),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4
1807-8664,ACTA SCIENTIARUM. TECHNOLOGY (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4
2582-3183,ACTA SCIENTIFIC VETERINARY SCIENCES,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",C
1221-5872,ACTA TECHNICA NAPOCENSIS. SERIES APPLIED MATHEMATICS AND MECHANICS,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B4
1982-422X,ACTA TECNOLÓGICA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B4
0001-706X,ACTA TROPICA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
1981-5484,ACTA VETERINARIA BRASILICA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B4
2525-8923,ACTIO: DOCÊNCIA EM CIÊNCIAS,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
1409-4703,ACTUALIDADES INVESTIGATIVAS EN EDUCACIÓN,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
1369-1600,ADDICTION BIOLOGY (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
2745-1364,AD-GNOSIS (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
1518-9929,ADM. MADE (UNIVERSIDADE ESTÁCIO DE SÁ),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2
1982-7938,ADMINISTRAÇÃO,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B4
1676-9457,ADMINISTRAÇÃO DE EMPRESAS EM REVISTA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2
2316-7548,ADMINISTRAÇÃO DE EMPRESAS EM REVISTA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2
2177-6083,ADMINISTRAÇÃO: ENSINO E PESQUISA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3
2358-0917,ADMINISTRAÇÃO: ENSINO E PESQUISA (RAEP),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3
2175-5787,ADMINISTRAÇÃO PÚBLICA E GESTÃO SOCIAL,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3
1583-9583,ADMINISTRATIE SI MANAGEMENT PUBLIC,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
1015-4833,ADMINISTRATIO PUBLICA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2
0095-3997,ADMINISTRATION & SOCIETY,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
2076-3387,ADMINISTRATIVE SCIENCES,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",C
1084-1806,ADMINISTRATIVE THEORY & PRAXIS,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
2237-5139,ADM.MADE,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2
0882-6110,ADVANCES IN ACCOUNTING,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
2156-8456,ADVANCES IN BIOSCIENCE AND BIOTECHNOLOGY (IMPRESSO),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",C
0098-9258,ADVANCES IN CONSUMER RESEARCH,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4
1582-7445,ADVANCES IN ELECTRICAL AND COMPUTER ENGINEERING (PRINT),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2
2357-8181,ADVANCES IN FORESTRY SCIENCE,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2
2965-3339,ADVANCES IN GLOBAL INNOVATION & TECHNOLOGY (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",C
2148-7316,ADVANCES IN HOSPITALITY AND TOURISM RESEARCH (AHTR) (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4
2523-3106,ADVANCES IN RHEUMATOLOGY,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
1983-8611,ADVANCES IN SCIENTIFIC & APPLIED ACCOUNTING,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3
2055-0286,ADVANCES IN SOCIAL SCIENCES RESEARCH JOURNAL,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
1808-883X,ADVÉRBIO (FAG),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",C
1984-5634,AEDOS: REVISTA DO CORPO DISCENTE DO PROGRAMA DE PÓS-GRADUAÇÃO EM HISTÓRIA DA UFRGS (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
1991-637X,AFRICAN JOURNAL OF AGRICULTURAL RESEARCH,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4
1684-5315,AFRICAN JOURNAL OF BIOTECHNOLOGY,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
1993-8233,AFRICAN JOURNAL OF BUSINESS MANAGEMENT,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",C
1996-0794,AFRICAN JOURNAL OF FOOD SCIENCE,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",C
0163-5158,AGEING INTERNATIONAL,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4
2318-8499,AGENDA POLÍTICA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
1360-7863,AGING & MENTAL HEALTH (PRINT),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
2237-9010,ÁGORA : REVISTA DE DIVULGAÇÃO CIENTÍFICA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B3
0103-3557,ÁGORA: ARQUIVOLOGIA EM DEBATE,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3
2763-9045,ÁGORA: ARQUIVOLOGIA EM DEBATE,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3
0104-7507,AGORA (UNC),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B3
1982-6737,ÁGORA (UNISC. ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4
2357-9951,AGRARIAN ACADEMY,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B4
2675-7710,AGRICULTURA FAMILIAR (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3
0168-1923,AGRICULTURAL AND FOREST METEOROLOGY (PRINT),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
2471-6774,AGRICULTURAL RESEARCH AND TECHNOLOGY: OPEN ACCESS JOURNAL,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B3
0308-521X,AGRICULTURAL SYSTEMS,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
2077-0472,AGRICULTURE,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
0889-048X,AGRICULTURE AND HUMAN VALUES,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
2624-7402,AGRIENGINEERING,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
1316-0354,AGROALIMENTARIA (CARACAS),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2
0100-4298,AGROANALYSIS (FGV),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2
2168-3565,AGROECOLOGY AND SUSTAINABLE FOOD SYSTEMS (PRINT),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
0167-4366,AGROFORESTRY SYSTEMS (PRINT),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
2526-7043,AGROMETEOROS,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2
2073-4395,AGRONOMY,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
2359-1455,AGRONOMY SCIENCE AND BIOTECHNOLOGY,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
2525-877X,AGROPAMPA: REVISTA DE GESTÃO DO AGRONEGÓCIO,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2
1678-7471,ÁGUA VIVA (UNB),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
2340-7743,AGUA Y TERRITORIO,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4
1938-9604,AIB INSIGHTS,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2
0269-9370,AIDS (LONDON),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3
2471-2086,AIMS AGRICULTURE AND FOOD,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
2372-0352,AIMS ENVIRONMENTAL SCIENCE,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
2473-3458,AIS TRANSACTIONS ON REPLICATION RESEARCH,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B3
0568-3939,AISTHESIS (SANTIAGO. IMPRESO),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
1449-8618,AJIS. AUSTRALASIAN JOURNAL OF INFORMATION SYSTEMS,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
1522-1555,AJP: ENDOCRINOLOGY AND METABOLISM (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
1982-1093,AKRÓPOLIS,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
3006-2470,ALBA – ISFIC RESEARCH AND SCIENCE JOURNAL (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2
1413-2591,ALCANCE (UNIVALI) (CESSOU EM 2007),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
2179-1430,ALCANCEAD - REVISTA ELETRÔNICA DE EAD DA UNIRIO,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B4
1679-3749,ALETRIA (UFMG),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3
1999-4893,ALGORITHMS,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",C
2526-8066,ALMANAQUE DE CIÊNCIA POLÍTICA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2
2359-6651,ALMANAQUE MULTIDISCIPLINAR DE PESQUISA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2
2036-5195,"ALMATOURISM - JOURNAL OF TOURISM, CULTURE AND TERRITORIAL DEVELOPMENT","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4
